Time,STFT,LTFT,Pressure
55186.931103,-21.875,-2.34375,53.0
55187.657103,-21.875,-2.34375,50.0
55188.345103,-21.09375,-2.34375,49.0
55189.084103,-20.3125,-2.34375,49.0
55189.761103,-20.3125,-2.34375,52.0
55190.427103,-18.75,-2.34375,52.0
55191.139103,-21.875,-2.34375,57.0
55191.820103,-21.875,0.0,44.0
55192.558103,-21.09375,-2.34375,45.0
55193.262103,-18.75,0.0,51.0
55193.995103,-21.09375,0.0,41.0
55194.689103,-18.75,-2.34375,54.0
55195.382103,-21.875,-3.125,46.0
55196.102103,-22.65625,-2.34375,54.0
55196.827103,-21.875,-2.34375,50.0
55197.515103,-21.09375,-2.34375,51.0
55198.247103,-17.96875,-2.34375,50.0
55198.931103,-16.40625,0.0,48.0
55199.614103,-13.28125,-2.34375,44.0
55200.305103,-14.84375,-2.34375,56.0
55200.982103,-17.1875,-3.125,48.0
55201.646103,-14.84375,0.0,88.0
55202.367103,-13.28125,-2.34375,49.0
55203.059103,-14.0625,0.0,52.0
55203.742103,-13.28125,0.0,41.0
55204.433103,-10.15625,0.0,42.0
55205.154103,-10.9375,-2.34375,46.0
55205.894103,-14.0625,-2.34375,52.0
55206.601103,-17.1875,0.0,46.0
55207.385103,-14.84375,0.0,47.0
55208.057103,-14.0625,0.0,49.0
55208.750103,-14.84375,-2.34375,50.0
55209.468103,-16.40625,-2.34375,55.0
55210.409103,-17.1875,-3.90625,54.0
55211.151103,-18.75,0.0,69.0
55211.860103,-20.3125,-2.34375,49.0
55212.585103,-17.96875,0.0,65.0
55213.415103,-17.1875,0.0,39.0
55214.116103,-17.1875,0.0,45.0
55214.814103,-16.40625,0.0,48.0
55215.504103,-16.40625,0.0,49.0
55216.289103,-14.84375,-3.90625,50.0
55217.003103,-16.40625,-3.90625,91.0
55217.759103,-10.15625,-3.125,52.0
55218.454103,-3.90625,-2.34375,61.0
55219.232103,-3.90625,-2.34375,64.0
55219.953103,-6.25,-2.34375,60.0
55220.763103,-2.34375,-2.34375,46.0
55221.481103,-9.375,-2.34375,39.0
55222.230103,-7.03125,0.0,39.0
55222.983103,-13.28125,99.21875,32.0
55223.686103,-6.25,0.0,25.0
55224.492103,0.0,0.0,25.0
55225.337103,0.0,0.0,40.0
55226.071103,-3.125,0.0,28.0
55226.811103,-6.25,0.0,29.0
55227.566103,-9.375,0.0,34.0
55228.378103,-9.375,-2.34375,42.0
55229.097103,-10.15625,-3.125,60.0
55230.026103,-14.0625,-3.125,68.0
55230.802103,-17.96875,-2.34375,57.0
55231.639103,-17.1875,-3.125,54.0
55232.342103,-16.40625,-3.125,57.0
55233.141103,-17.96875,-3.125,59.0
55234.043103,-17.96875,-2.34375,59.0
55234.812103,-17.1875,-2.34375,44.0
55235.609103,-14.84375,-2.34375,52.0
55236.374103,-17.96875,-2.34375,66.0
55237.272103,-17.1875,-2.34375,74.0
55238.103103,-18.75,-2.34375,52.0
55238.918103,-14.84375,-2.34375,46.0
55239.841103,-10.15625,0.0,35.0
55240.613103,-9.375,2.34375,29.0
55241.462103,-10.15625,0.78125,33.0
55242.174103,-10.15625,0.0,38.0
55242.948103,-7.03125,0.0,41.0
55243.870103,-11.71875,0.0,44.0
55244.594103,-11.71875,0.0,46.0
55245.335103,-10.9375,0.0,45.0
55246.044103,-10.15625,0.0,49.0
55246.746103,-14.0625,-2.34375,52.0
55247.462103,-13.28125,-3.125,47.0
55248.146103,-10.15625,-2.34375,66.0
55248.840103,-5.46875,-2.34375,65.0
55249.517103,-3.90625,-2.34375,76.0
55250.180103,0.0,-5.46875,71.0
55250.836103,3.90625,-5.46875,85.0
55251.561103,1.5625,-6.25,72.0
55252.233103,0.0,0.0,44.0
55252.913103,1.5625,-5.46875,48.0
55253.624103,0.0,-5.46875,69.0
55254.293103,0.0,-3.90625,62.0
55254.976103,2.34375,-3.90625,52.0
55255.676103,1.5625,-3.90625,48.0
55256.367103,2.34375,-5.46875,48.0
55257.041103,-2.34375,-5.46875,64.0
55257.764103,-6.25,-5.46875,66.0
55258.427103,0.0,0.78125,53.0
55259.098103,1.5625,-5.46875,47.0
55259.779103,0.0,-5.46875,65.0
55260.493103,2.34375,-3.90625,63.0
55261.226103,5.46875,-3.90625,58.0
55261.916103,3.90625,-3.90625,56.0
55262.673103,-3.125,-3.90625,55.0
55263.381103,0.0,-3.90625,54.0
55264.063103,2.34375,-3.90625,51.0
55264.756103,1.5625,-3.125,49.0
55265.439103,0.78125,-3.125,46.0
55266.105103,0.0,-2.34375,41.0
55266.771103,-7.03125,-2.34375,39.0
55267.468103,-6.25,99.21875,40.0
55268.147103,0.78125,-3.90625,26.0
55268.847103,0.0,-3.90625,55.0
55269.535103,0.0,-2.34375,46.0
55270.207103,0.0,0.0,39.0
55270.899103,-7.8125,0.0,37.0
55271.609103,-10.15625,0.0,36.0
55272.298103,-7.8125,0.0,35.0
